Cat.,Zaneen Model #,Series,Description, CAD MSRP  ,USD MSRP 
D,D4-1000WHI,ARBOR,Suspension -12x4.5W LED -120V -3000K -4200lm - White,2666.00,2142.00
D,D4-1000WHI-ALM,ARBOR,Suspension -12x4.5W LED -120V -3000K -4200lm - White - Aluminum,2898.00,2330.00
D,D4-1000WHI-GRY,ARBOR,Suspension -12x4.5W LED -120V -3000K -4200lm - White - Dove Gray,2666.00,2142.00
D,D4-1000GSR,ARBOR,Suspension -12x4.5W LED -120V -3000K -4200lm - Gold Silver,2898.00,2330.00
D,D4-1000CSR,ARBOR,Suspension -12x4.5W LED -120V -3000K -4200lm - Copper Silver,2898.00,2330.00
D,D4-1001WHI,ARBOR,Suspension -20x4.5W LED -120V -3000K -7000lm - White,3608.00,2900.00
D,D4-1001WHI-ALM,ARBOR,Suspension -20x4.5W LED -120V -3000K -7000lm - White - Aluminum,4002.00,3220.00
D,D4-1001WHI-GRY,ARBOR,Suspension -20x4.5W LED -120V -3000K -7000lm - White - Dove Gray,3608.00,2900.00
D,D4-1001GSR,ARBOR,Suspension -20x4.5W LED -120V -3000K -7000lm - Gold Silver,4002.00,3220.00
D,D4-1001CSR,ARBOR,Suspension -20x4.5W LED -120V -3000K -7000lm - Copper Silver,4002.00,3220.00
D,D4-1002WHI,ARBOR,Suspension -30x4.5W LED -120V -3000K -10500lm - White,5700.00,4584.00
D,D4-1002WHI-ALM,ARBOR,Suspension -30x4.5W LED -120V -3000K -10500lm - White - Aluminum,6294.00,5062.00
D,D4-1002WHI-GRY,ARBOR,Suspension -30x4.5W LED -120V -3000K -10500lm - White - Dove Gray,5700.00,4584.00
D,D4-1002GSR,ARBOR,Suspension -30x4.5W LED -120V -3000K -10500lm - Gold Silver,6294.00,5062.00
D,D4-1002CSR,ARBOR,Suspension -30x4.5W LED -120V -3000K -10500lm - Copper Silver,6294.00,5062.00
D,D4-2000WHI,ARBOR,Surface/Ceiling -12x4.5W LED -120V -3000K -4200lm - White,2468.00,1984.00
D,D4-2000WHI-ALM,ARBOR,Surface/Ceiling -12x4.5W LED -120V -3000K -4200lm - White - Aluminum,2700.00,2170.00
D,D4-2000WHI-GRY,ARBOR,Surface/Ceiling -12x4.5W LED -120V -3000K -4200lm - White - Dove Gray,2468.00,1984.00
D,D4-2000GSR,ARBOR,Surface/Ceiling -12x4.5W LED -120V -3000K -4200lm - Gold Silver,2700.00,2170.00
